"year"	"state"	"total_votes"	"votes_incumbent"	"perc_votes_incumbent"	"votes_challenger"	"perc_votes_challenger"	"incumbent"	"incumbent_party"	"challenger"	"challenger_party"	"winner"
"1"	"1964"	"alabama"	689818	0	0	479085	69.5	"johnson"	"democrat"	"goldwater"	"republican"	"republican"
"2"	"1964"	"alaska"	67259	44329	65.9	22930	34.1	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"3"	"1964"	"arizona"	480770	237753	49.5	242535	50.4	"johnson"	"democrat"	"goldwater"	"republican"	"republican"
"4"	"1964"	"arkansas"	560426	314197	56.1	243264	43.4	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"5"	"1964"	"california"	7057586	4171877	59.1	2879108	40.8	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"6"	"1964"	"colorado"	776986	476024	61.3	296767	38.2	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"7"	"1964"	"connecticut"	1218578	826269	67.8	390996	32.1	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"8"	"1964"	"delaware"	201320	122704	60.9	78078	38.8	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"9"	"1964"	"dist. of col."	198597	169796	85.5	28801	14.5	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"10"	"1964"	"florida"	1854481	948540	51.1	905941	48.9	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"11"	"1964"	"georgia"	1139335	522556	45.9	616584	54.1	"johnson"	"democrat"	"goldwater"	"republican"	"republican"
"12"	"1964"	"hawaii"	207271	163249	78.8	44022	21.2	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"13"	"1964"	"idaho"	292477	148920	50.9	143557	49.1	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"14"	"1964"	"illinois"	4702841	2796833	59.5	1905946	40.5	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"15"	"1964"	"indiana"	2091606	1170848	56	911118	43.6	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"16"	"1964"	"iowa"	1184539	733030	61.9	449148	37.9	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"17"	"1964"	"kansas"	857901	464028	54.1	386579	45.1	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"18"	"1964"	"kentucky"	1046105	669659	64	372977	35.7	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"19"	"1964"	"louisiana"	896293	387068	43.2	509225	56.8	"johnson"	"democrat"	"goldwater"	"republican"	"republican"
"20"	"1964"	"maine"	380965	262264	68.8	118701	31.2	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"21"	"1964"	"maryland"	1116457	730912	65.5	385495	34.5	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"22"	"1964"	"massachusetts"	2344798	1786422	76.2	549727	23.4	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"23"	"1964"	"michigan"	3203102	2136615	66.7	1060152	33.1	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"24"	"1964"	"minnesota"	1554462	991117	63.8	559624	36	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"25"	"1964"	"mississippi"	409146	52618	12.9	356528	87.1	"johnson"	"democrat"	"goldwater"	"republican"	"republican"
"26"	"1964"	"missouri"	1817879	1164344	64	653535	36	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"27"	"1964"	"montana"	278628	164246	58.9	113032	40.6	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"28"	"1964"	"nebraska"	584154	307307	52.6	276847	47.4	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"29"	"1964"	"nevada"	135433	79339	58.6	56094	41.4	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"30"	"1964"	"new hampshire"	288093	184064	63.9	104029	36.1	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"31"	"1964"	"new jersey"	2847663	1868231	65.6	964174	33.9	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"32"	"1964"	"new mexico"	328645	194015	59	132838	40.4	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"33"	"1964"	"new york"	7166275	4913102	68.6	2243559	31.3	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"34"	"1964"	"north carolina"	1424983	800139	56.2	624844	43.8	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"35"	"1964"	"north dakota"	258389	149784	58	108207	41.9	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"36"	"1964"	"ohio"	3969196	2498331	62.9	1470865	37.1	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"37"	"1964"	"oklahoma"	932499	519834	55.7	412665	44.3	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"38"	"1964"	"oregon"	786305	501017	63.7	282779	36	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"39"	"1964"	"pennsylvania"	4822690	3130954	64.9	1673657	34.7	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"40"	"1964"	"rhode island"	390091	315463	80.9	74615	19.1	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"41"	"1964"	"south carolina"	524779	215723	41.1	309048	58.9	"johnson"	"democrat"	"goldwater"	"republican"	"republican"
"42"	"1964"	"south dakota"	293118	163010	55.6	130108	44.4	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"43"	"1964"	"tennessee"	1143946	634947	55.5	508965	44.5	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"44"	"1964"	"texas"	2626811	1663185	63.3	958566	36.5	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"45"	"1964"	"utah"	401413	219628	54.7	181785	45.3	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"46"	"1964"	"vermont"	163089	108127	66.3	54942	33.7	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"47"	"1964"	"virginia"	1042267	558038	53.5	481334	46.2	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"48"	"1964"	"washington"	1258556	779881	62	470366	37.4	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"49"	"1964"	"west virginia"	792040	538087	67.9	253953	32.1	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"50"	"1964"	"wisconsin"	1691815	1050424	62.1	638495	37.7	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"51"	"1964"	"wyoming"	142716	80718	56.6	61998	43.4	"johnson"	"democrat"	"goldwater"	"republican"	"democrat"
"52"	"1972"	"alabama"	1006111	728701	72.4	256923	25.5	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"53"	"1972"	"alaska"	95219	55349	58.1	32967	34.6	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"54"	"1972"	"arizona"	622926	402812	64.7	198540	31.9	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"55"	"1972"	"arkansas"	651320	448541	68.9	199892	30.7	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"56"	"1972"	"california"	8367862	4602096	55	3475847	41.5	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"57"	"1972"	"colorado"	953884	597189	62.6	329980	34.6	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"58"	"1972"	"connecticut"	1384277	810763	58.6	555498	40.1	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"59"	"1972"	"delaware"	235516	140357	59.6	92283	39.2	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"60"	"1972"	"dist. of col."	163421	35226	21.6	127627	78.1	"nixon"	"republican"	"mcgovern"	"democrat"	"demorat"
"61"	"1972"	"florida"	2583283	1857759	71.9	718117	27.8	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"62"	"1972"	"georgia"	1174772	881496	75	289529	24.6	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"63"	"1972"	"hawaii"	270274	168865	62.5	101409	37.5	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"64"	"1972"	"idaho"	310379	199384	64.2	80826	26	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"65"	"1972"	"illinois"	4723236	2788179	59	1913472	40.5	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"66"	"1972"	"indiana"	2125529	1405154	66.1	708568	33.3	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"67"	"1972"	"iowa"	1225944	706207	57.6	496206	40.5	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"68"	"1972"	"kansas"	916095	619812	67.7	270287	29.5	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
"69"	"1972"	"kentucky"	1067499	676446	63.4	371159	34.8	"nixon"	"republican"	"mcgovern"	"democrat"	"republican"
