"state"	"year"	"num_electoral_votes"
"1"	"alabama"	"1789"	NA
"2"	"alaska"	"1789"	NA
"3"	"arizona"	"1789"	NA
"4"	"arkansas"	"1789"	NA
"5"	"california"	"1789"	NA
"6"	"colorado"	"1789"	NA
"7"	"connecticut"	"1789"	7
"8"	"district of columbia"	"1789"	NA
"9"	"delaware"	"1789"	3
"10"	"florida"	"1789"	NA
"11"	"georgia"	"1789"	5
"12"	"hawaii"	"1789"	NA
"13"	"idaho"	"1789"	NA
"14"	"illinois"	"1789"	NA
"15"	"indiana"	"1789"	NA
"16"	"iowa"	"1789"	NA
"17"	"kansas"	"1789"	NA
"18"	"kentucky"	"1789"	NA
"19"	"louisiana"	"1789"	NA
"20"	"maine"	"1789"	NA
"21"	"maryland"	"1789"	8
"22"	"massachusetts"	"1789"	10
"23"	"michigan"	"1789"	NA
"24"	"minnesota"	"1789"	NA
"25"	"mississippi"	"1789"	NA
"26"	"missouri"	"1789"	NA
"27"	"montana"	"1789"	NA
"28"	"nebraska"	"1789"	NA
"29"	"nevada"	"1789"	NA
"30"	"new hampshire"	"1789"	5
"31"	"new jersey"	"1789"	6
"32"	"new mexico"	"1789"	NA
"33"	"new york"	"1789"	8
"34"	"north carolina"	"1789"	NA
"35"	"north dakota"	"1789"	NA
"36"	"ohio"	"1789"	NA
"37"	"oklahoma"	"1789"	NA
"38"	"oregon"	"1789"	NA
"39"	"pennsylvania"	"1789"	10
"40"	"rhode island"	"1789"	NA
"41"	"south carolina"	"1789"	7
"42"	"south dakota"	"1789"	NA
"43"	"tennessee"	"1789"	NA
"44"	"texas"	"1789"	NA
"45"	"utah"	"1789"	NA
"46"	"vermont"	"1789"	NA
"47"	"virginia"	"1789"	12
"48"	"washington"	"1789"	NA
"49"	"west virginia"	"1789"	NA
"50"	"wisconsin"	"1789"	NA
"51"	"wyoming"	"1789"	NA
"52"	"alabama"	"1792"	NA
"53"	"alaska"	"1792"	NA
"54"	"arizona"	"1792"	NA
"55"	"arkansas"	"1792"	NA
"56"	"california"	"1792"	NA
"57"	"colorado"	"1792"	NA
"58"	"connecticut"	"1792"	9
"59"	"district of columbia"	"1792"	NA
"60"	"delaware"	"1792"	3
"61"	"florida"	"1792"	NA
"62"	"georgia"	"1792"	4
"63"	"hawaii"	"1792"	NA
"64"	"idaho"	"1792"	NA
"65"	"illinois"	"1792"	NA
"66"	"indiana"	"1792"	NA
"67"	"iowa"	"1792"	NA
"68"	"kansas"	"1792"	NA
"69"	"kentucky"	"1792"	4
"70"	"louisiana"	"1792"	NA
"71"	"maine"	"1792"	NA
"72"	"maryland"	"1792"	10
"73"	"massachusetts"	"1792"	16
"74"	"michigan"	"1792"	NA
